dataset,phi,livelli_voto,doc_score_diverso,salto_score,salto_su_devstd_voti,doc_cambia_posizione,posizioni_spostate,top10_cambia
FINDHR,1,4,0.057,0.2216,0.355,0.371,3.83,0.238
FINDHR,2,4,0.069,0.2347,0.376,0.437,3.93,0.317
FINDHR,4,4,0.082,0.2308,0.37,0.52,4.04,0.392
FINDHR,6,4,0.083,0.2343,0.376,0.515,4.13,0.434
FINDHR,10,4,0.091,0.2335,0.374,0.546,4.33,0.397
FINDHRLIST,1,30,0.369,0.7708,0.089,0.547,3.28,0.356
FINDHRLIST,2,30,0.42,0.92,0.107,0.614,3.74,0.405
FINDHRLIST,4,30,0.428,1.0069,0.117,0.635,3.94,0.454
FINDHRLIST,6,30,0.43,1.0729,0.124,0.641,4.13,0.434
FINDHRLIST,10,30,0.462,1.149,0.133,0.692,4.37,0.453
