dataset,modello,phi,semi,media,deviazione_standard,massimo_meno_minimo
FINDHR,rtr,1,5,0.9521,0.00154,0.00415
FINDHR,rtr,2,5,0.95449,0.0005,0.0012
FINDHR,rtr,4,5,0.95388,0.00063,0.00162
FINDHR,rtr,6,5,0.95675,0.00022,0.00051
FINDHR,rtr,10,5,0.95155,0.00039,0.00091
FINDHR,rtrwrulecard,1,5,0.95346,0.00176,0.00437
FINDHR,rtrwrulecard,2,5,0.96023,0.00114,0.00285
FINDHR,rtrwrulecard,4,5,0.96017,0.00064,0.00179
FINDHR,rtrwrulecard,6,5,0.96476,0.00069,0.0019
FINDHR,rtrwrulecard,10,5,0.95928,0.00093,0.00225
FINDHRLIST,rtr,1,5,0.977,0.00029,0.00072
FINDHRLIST,rtr,2,5,0.97524,0.00024,0.00051
FINDHRLIST,rtr,4,5,0.97498,0.00011,0.0003
FINDHRLIST,rtr,6,5,0.97277,0.0002,0.0005
FINDHRLIST,rtr,10,5,0.97413,2e-05,4e-05
FINDHRLIST,rtrwrulecard,1,5,0.9784,0.00036,0.00081
FINDHRLIST,rtrwrulecard,2,5,0.97641,0.00074,0.00174
FINDHRLIST,rtrwrulecard,4,5,0.97641,0.0002,0.00049
FINDHRLIST,rtrwrulecard,6,5,0.9748,0.00026,0.00056
FINDHRLIST,rtrwrulecard,10,5,0.97686,0.00039,0.00092
