dataset,distanza,phi,completo,seed completo,senza query,seed senza query,solo r(x),seed solo r(x),solo s(x),seed solo s(x)
FINDHRLIST,PDT,1,0.977,5,0.977,5,0.9726,5,0.657,5
FINDHRLIST,PDT,2,0.9752,5,0.9711,5,0.9648,5,0.657,5
FINDHRLIST,PDT,4,0.975,5,0.9662,5,0.964,5,0.657,5
FINDHRLIST,PDT,6,0.9728,5,0.9645,5,0.9597,5,0.657,5
FINDHRLIST,PDT,10,0.9741,5,0.9627,5,0.9633,5,0.657,5
FINDHRLIST,GAM,1,0.9784,5,0.9784,5,0.9726,5,0.9333,5
FINDHRLIST,GAM,2,0.9764,5,0.9746,5,0.9648,5,0.9333,5
FINDHRLIST,GAM,4,0.9764,5,0.9714,5,0.964,5,0.9333,5
FINDHRLIST,GAM,6,0.9748,5,0.9664,5,0.9597,5,0.9333,5
FINDHRLIST,GAM,10,0.9769,5,0.9673,5,0.9633,5,0.9333,5
FINDHR,PDT,1,0.9521,5,0.9521,5,0.949,5,0.7602,5
FINDHR,PDT,2,0.9545,5,0.9577,5,0.9541,5,0.7601,5
FINDHR,PDT,4,0.9539,5,0.9621,5,0.9506,5,0.7601,5
FINDHR,PDT,6,0.9567,5,0.9645,5,0.9548,5,0.7601,5
FINDHR,PDT,10,0.9516,5,0.9582,5,0.9496,5,0.7604,5
FINDHR,GAM,1,0.9535,5,0.9535,5,0.949,5,0.9245,5
FINDHR,GAM,2,0.9602,5,0.9678,5,0.9541,5,0.9245,5
FINDHR,GAM,4,0.9602,5,0.9655,5,0.9506,5,0.9245,5
FINDHR,GAM,6,0.9648,5,0.9661,5,0.9548,5,0.9245,5
FINDHR,GAM,10,0.9593,5,0.9677,5,0.9496,5,0.9245,5
