dataset,phi,seed_pdt,seed_gam,pdt_media,pdt_std,gam_media,gam_std,differenza,gain,query_meglio_gam,query_meglio_pdt,p_wilcoxon
FINDHRLIST,1,5,5,0.977,0.0003,0.9784,0.0004,0.0014,0.0014,56,38,0.0161
FINDHRLIST,2,5,5,0.9752,0.0002,0.9764,0.0007,0.0012,0.0012,49,48,0.3486
FINDHRLIST,4,5,5,0.975,0.0001,0.9764,0.0002,0.0014,0.0014,55,41,0.0253
FINDHRLIST,6,5,5,0.9728,0.0002,0.9748,0.0003,0.002,0.002,53,45,0.0732
FINDHRLIST,10,5,5,0.9741,0.0,0.9769,0.0004,0.0027,0.0027,57,41,0.0022
FINDHR,1,5,5,0.9521,0.0015,0.9535,0.0018,0.0014,0.0014,24,33,0.7718
FINDHR,2,5,5,0.9545,0.0005,0.9602,0.0011,0.0057,0.0057,42,26,0.0136
FINDHR,4,5,5,0.9539,0.0006,0.9602,0.0006,0.0063,0.0063,38,35,0.1031
FINDHR,6,5,5,0.9567,0.0002,0.9648,0.0007,0.008,0.008,46,25,0.0022
FINDHR,10,5,5,0.9516,0.0004,0.9593,0.0009,0.0077,0.0077,47,27,0.0017
