dataset,phi,seed,riferimento,distanza,guadagno_distanza,p_distanza,aggregazione,guadagno_aggregazione,p_aggregazione
FINDHRLIST,1,5,0.977,0.9784,0.0014,0.0161,0.9806,0.0036,0.0093
FINDHRLIST,2,5,0.9752,0.9764,0.0012,0.3486,0.9807,0.0054,0.0002
FINDHRLIST,4,5,0.975,0.9764,0.0014,0.0253,0.9816,0.0066,0.0
FINDHRLIST,6,5,0.9728,0.9748,0.002,0.0732,0.9811,0.0084,0.0
FINDHRLIST,10,5,0.9741,0.9769,0.0027,0.0022,0.9827,0.0085,0.0
FINDHR,1,5,0.9521,0.9535,0.0014,0.7718,0.9576,0.0055,0.013
FINDHR,2,5,0.9545,0.9602,0.0057,0.0136,0.9638,0.0093,0.0004
FINDHR,4,5,0.9539,0.9602,0.0063,0.1031,0.9662,0.0124,0.0005
FINDHR,6,5,0.9567,0.9648,0.008,0.0022,0.9699,0.0132,0.0001
FINDHR,10,5,0.9516,0.9593,0.0077,0.0017,0.9651,0.0136,0.0003
