dataset,phi,casuale,solo r(x),euclidea in foglia,RTR (PDT),RTRwRuleCard (GAM),kNN,LambdaMART,foresta in foglia,foresta sul gruppo,boosting sul gruppo
FINDHRLIST,1,0.5142 ± 0.0121,0.9726 ± 0.0002,0.9787 ± 0.0002,0.9770 ± 0.0003,0.9784 ± 0.0004,0.9458 ± 0.0000,0.9184 ± 0.0000,0.9806 ± 0.0002,0.9822 ± 0.0001,0.9822 ± 0.0000
FINDHRLIST,2,0.5190 ± 0.0086,0.9648 ± 0.0002,0.9770 ± 0.0003,0.9752 ± 0.0002,0.9764 ± 0.0007,0.9508 ± 0.0000,0.9642 ± 0.0000,0.9807 ± 0.0001,0.9799 ± 0.0001,0.9833 ± 0.0000
FINDHRLIST,4,0.5219 ± 0.0109,0.9640 ± 0.0001,0.9760 ± 0.0001,0.9750 ± 0.0001,0.9764 ± 0.0002,0.9570 ± 0.0000,0.9827 ± 0.0000,0.9816 ± 0.0001,0.9781 ± 0.0003,0.9813 ± 0.0000
FINDHRLIST,6,0.5214 ± 0.0169,0.9597 ± 0.0000,0.9744 ± 0.0001,0.9728 ± 0.0002,0.9748 ± 0.0003,0.9620 ± 0.0000,0.9833 ± 0.0000,0.9811 ± 0.0003,0.9791 ± 0.0003,0.9811 ± 0.0000
FINDHRLIST,10,0.5216 ± 0.0072,0.9633 ± 0.0000,0.9760 ± 0.0000,0.9741 ± 0.0000,0.9769 ± 0.0004,0.9581 ± 0.0000,0.9852 ± 0.0000,0.9827 ± 0.0001,0.9806 ± 0.0002,0.9832 ± 0.0000
FINDHR,1,0.6571 ± 0.0114,0.9490 ± 0.0012,0.9528 ± 0.0015,0.9521 ± 0.0015,0.9535 ± 0.0018,0.9329 ± 0.0000,0.9441 ± 0.0000,0.9576 ± 0.0015,0.9735 ± 0.0002,0.9630 ± 0.0000
FINDHR,2,0.6602 ± 0.0042,0.9541 ± 0.0002,0.9606 ± 0.0004,0.9545 ± 0.0005,0.9602 ± 0.0011,0.9388 ± 0.0000,0.9649 ± 0.0000,0.9638 ± 0.0008,0.9736 ± 0.0008,0.9734 ± 0.0000
FINDHR,4,0.6663 ± 0.0108,0.9506 ± 0.0003,0.9595 ± 0.0003,0.9539 ± 0.0006,0.9602 ± 0.0006,0.9516 ± 0.0000,0.9737 ± 0.0000,0.9662 ± 0.0008,0.9760 ± 0.0009,0.9782 ± 0.0000
FINDHR,6,0.6614 ± 0.0140,0.9548 ± 0.0001,0.9640 ± 0.0001,0.9567 ± 0.0002,0.9648 ± 0.0007,0.9513 ± 0.0000,0.9766 ± 0.0000,0.9699 ± 0.0009,0.9790 ± 0.0004,0.9822 ± 0.0000
FINDHR,10,0.6608 ± 0.0063,0.9496 ± 0.0000,0.9587 ± 0.0000,0.9516 ± 0.0004,0.9593 ± 0.0009,0.9575 ± 0.0000,0.9763 ± 0.0000,0.9651 ± 0.0011,0.9769 ± 0.0004,0.9843 ± 0.0000
