modello,phi,gruppo,n_query,ndcg_del_gruppo,ndcg_nostro,differenza,configurazione_diversa,feature_diff,feature_diff_del_gruppo,pdt_depth,pdt_depth_del_gruppo,n_neighbors,n_neighbors_del_gruppo,sdt_depth,sdt_depth_del_gruppo,dist_objective,dist_objective_del_gruppo
Mix-RuleTreeRank,1,0,1,0.9665,0.962,0.0045,True,True,True,2,6,5,3,6,6,dist,dist
Mix-RuleTreeRank,1,1,1,0.9336,0.9148,0.0188,True,True,True,2,2,3,5,6,4,dist,dist
Mix-RuleTreeRank,1,2,1,0.953,0.9424,0.0107,True,True,True,2,6,4,4,6,6,dist,dist
Mix-RuleTreeRank,1,3,1,0.9543,0.9387,0.0156,True,True,True,4,2,4,5,4,8,dist,dist
Mix-RuleTreeRank,1,4,1,0.9781,0.9481,0.0299,True,True,True,6,6,4,4,2,2,dist,y
Mix-RuleTreeRank,1,5,1,0.9904,0.9688,0.0217,True,True,False,6,4,5,3,2,6,dist,dist
Mix-RuleTreeRank,1,6,1,0.9831,0.9785,0.0046,True,False,True,6,2,5,3,6,4,y,dist
Mix-RuleTreeRank,1,7,1,0.9904,0.968,0.0225,True,True,False,4,2,5,5,2,4,dist,dist
Mix-RuleTreeRank,1,8,1,0.9803,0.9537,0.0265,True,True,False,6,4,5,4,4,4,y,dist
Mix-RuleTreeRank,1,9,1,0.9904,0.9591,0.0314,True,True,False,2,4,5,3,4,4,dist,dist
Mix-RuleTreeRank,1,10,1,0.9102,0.9102,0.0,False,True,True,6,6,5,5,4,4,dist,dist
Mix-RuleTreeRank,1,11,1,0.982,0.9541,0.0279,True,True,False,6,2,4,4,4,4,dist,dist
Mix-RuleTreeRank,1,12,1,0.9949,0.9849,0.01,True,True,True,6,4,5,5,4,4,y,dist
Mix-RuleTreeRank,1,13,1,0.9614,0.9507,0.0107,True,False,False,4,2,5,3,4,6,y,dist
Mix-RuleTreeRank,1,14,1,0.9799,0.9601,0.0197,True,False,True,4,2,5,3,6,6,dist,dist
Mix-RuleTreeRank,1,15,1,0.9655,0.9645,0.001,True,True,True,4,4,4,4,4,4,dist,dist
Mix-RuleTreeRank,1,16,1,0.9775,0.9775,0.0,False,True,True,2,2,4,4,6,6,dist,dist
Mix-RuleTreeRank,1,17,1,1.0,1.0,0.0,True,False,True,4,2,3,3,2,4,dist,dist
Mix-RuleTreeRank,1,18,1,0.9934,0.9901,0.0033,True,False,True,6,2,5,3,6,6,dist,dist
Mix-RuleTreeRank,1,19,1,1.0,0.9947,0.0053,True,True,True,6,6,3,3,2,2,dist,dist
Mix-RuleTreeRank,1,20,1,0.9537,0.9464,0.0073,True,True,True,6,4,5,5,4,8,dist,dist
Mix-RuleTreeRank,1,21,1,0.9694,0.9683,0.0012,True,False,False,6,6,4,3,4,4,y,dist
Mix-RuleTreeRank,1,22,1,0.9836,0.98,0.0036,True,True,True,6,6,5,3,6,6,y,dist
Mix-RuleTreeRank,1,23,1,0.9737,0.9442,0.0296,True,True,False,6,6,5,5,2,8,dist,dist
Mix-RuleTreeRank,1,24,1,0.9453,0.9429,0.0024,True,True,True,6,4,5,5,2,4,dist,dist
Mix-RuleTreeRank,1,25,1,1.0,1.0,0.0,True,True,True,2,2,3,3,2,2,dist,dist
Mix-RuleTreeRank,1,26,1,0.9581,0.9414,0.0167,True,True,True,4,6,4,3,4,4,dist,dist
Mix-RuleTreeRank,1,27,1,1.0,0.9872,0.0128,True,False,True,2,2,3,3,4,2,dist,y
Mix-RuleTreeRank,1,28,1,0.9705,0.958,0.0126,True,False,True,4,2,4,4,2,2,y,y
Mix-RuleTreeRank,1,29,1,0.9227,0.9227,0.0,False,False,False,4,4,5,5,2,2,dist,dist
Mix-RuleTreeRank,1,30,1,1.0,0.9851,0.0149,True,True,True,6,4,4,3,2,4,dist,dist
Mix-RuleTreeRank,1,31,1,0.9453,0.9453,0.0,False,True,True,2,2,4,4,4,4,dist,dist
Mix-RuleTreeRank,1,32,1,0.9475,0.9306,0.0168,True,False,True,2,2,5,3,8,8,dist,y
Mix-RuleTreeRank,1,33,1,0.964,0.964,0.0,False,False,False,6,6,5,5,4,4,dist,dist
Mix-RuleTreeRank,1,34,1,0.9881,0.9712,0.0169,True,False,True,2,6,5,4,2,2,y,dist
Mix-RuleTreeRank,1,35,1,0.9804,0.9777,0.0026,True,True,True,4,2,5,5,6,6,dist,dist
Mix-RuleTreeRank,1,36,1,0.9306,0.917,0.0136,True,False,False,6,6,4,4,4,4,y,y
Mix-RuleTreeRank,1,37,1,1.0,1.0,0.0,True,True,True,2,2,3,3,2,2,y,y
Mix-RuleTreeRank,1,38,1,0.9561,0.9457,0.0104,True,False,True,6,2,5,5,8,6,dist,y
Mix-RuleTreeRank,1,39,1,0.9904,0.9623,0.0281,True,True,True,4,6,5,3,2,4,dist,dist
Mix-RuleTreeRank,1,40,1,1.0,1.0,0.0,True,True,True,2,2,5,3,2,2,dist,dist
Mix-RuleTreeRank,1,41,1,1.0,1.0,0.0,True,True,True,6,2,3,3,2,2,dist,y
Mix-RuleTreeRank,1,42,1,0.9852,0.9727,0.0124,True,True,True,2,2,4,3,2,2,dist,dist
Mix-RuleTreeRank,1,43,1,1.0,1.0,0.0,True,True,True,2,2,4,3,2,2,dist,dist
Mix-RuleTreeRank,1,44,1,0.9919,0.9552,0.0367,True,True,True,4,4,5,4,4,4,dist,y
Mix-RuleTreeRank,1,45,1,0.9942,0.989,0.0052,True,True,True,2,2,4,3,8,8,y,y
Mix-RuleTreeRank,1,46,1,1.0,0.9727,0.0273,True,True,False,2,2,3,3,2,4,y,dist
Mix-RuleTreeRank,1,47,1,0.9711,0.9711,0.0,False,True,True,6,6,5,5,4,4,dist,dist
Mix-RuleTreeRank,1,48,1,0.9841,0.9677,0.0164,True,True,False,6,6,4,3,2,2,dist,dist
Mix-RuleTreeRank,1,49,1,0.9553,0.9394,0.0159,True,True,False,6,6,5,3,4,6,dist,dist
Mix-RuleTreeRank,1,50,1,1.0,0.9897,0.0103,True,True,True,6,4,3,4,6,6,y,dist
Mix-RuleTreeRank,1,51,1,0.9854,0.9854,0.0,False,True,True,4,4,4,4,2,2,y,y
Mix-RuleTreeRank,1,52,1,0.9857,0.9821,0.0036,True,False,True,4,6,5,4,2,2,y,y
Mix-RuleTreeRank,1,53,1,0.9521,0.9521,0.0,False,False,False,6,6,5,5,4,4,dist,dist
Mix-RuleTreeRank,1,54,1,0.9836,0.9561,0.0275,True,False,True,2,2,5,4,4,2,dist,dist
Mix-RuleTreeRank,1,55,1,1.0,0.9885,0.0115,True,True,True,4,2,4,5,2,2,y,dist
Mix-RuleTreeRank,1,56,1,0.9716,0.9615,0.0101,True,True,True,6,6,4,3,4,4,dist,dist
Mix-RuleTreeRank,1,57,1,0.9881,0.9831,0.005,True,True,True,2,4,5,4,4,4,dist,dist
Mix-RuleTreeRank,1,58,1,0.9939,0.9704,0.0235,True,True,True,2,4,4,4,2,2,y,dist
Mix-RuleTreeRank,1,59,1,0.9904,0.9904,0.0,False,True,True,6,6,3,3,4,4,dist,dist
Mix-RuleTreeRank,1,60,1,1.0,0.9904,0.0096,True,True,True,6,6,5,5,2,2,dist,dist
Mix-RuleTreeRank,1,61,1,0.9856,0.9712,0.0144,True,True,False,2,4,3,4,2,4,y,dist
Mix-RuleTreeRank,1,62,1,1.0,0.9854,0.0146,True,False,False,4,6,5,5,4,4,dist,dist
Mix-RuleTreeRank,1,63,1,0.9649,0.9499,0.0149,True,True,True,6,6,5,4,4,2,dist,y
Mix-RuleTreeRank,1,64,1,0.9499,0.9387,0.0112,True,False,True,4,2,3,4,6,4,dist,dist
Mix-RuleTreeRank,1,65,1,0.9877,0.9675,0.0202,True,False,True,2,2,4,5,4,4,y,y
Mix-RuleTreeRank,1,66,1,0.9137,0.9137,0.0,False,False,False,4,4,5,5,6,6,y,y
Mix-RuleTreeRank,1,67,1,0.9289,0.9198,0.0091,True,True,True,4,6,5,5,4,8,y,y
Mix-RuleTreeRank,1,68,1,0.99,0.9848,0.0051,True,False,False,6,2,4,5,4,4,dist,y
Mix-RuleTreeRank,1,69,1,0.9856,0.967,0.0187,True,True,False,2,6,5,3,4,2,dist,dist
Mix-RuleTreeRank,1,70,1,0.9755,0.9755,0.0,False,False,False,2,2,3,3,6,6,dist,dist
Mix-RuleTreeRank,1,71,1,0.9705,0.9423,0.0282,True,True,True,2,6,4,4,2,2,dist,dist
Mix-RuleTreeRank,1,72,1,0.9895,0.9792,0.0103,True,True,True,6,6,3,3,4,4,y,y
Mix-RuleTreeRank,1,73,1,0.9805,0.9679,0.0125,True,False,False,2,6,3,4,6,4,dist,y
Mix-RuleTreeRank,1,74,1,0.9635,0.9526,0.011,True,True,False,2,6,5,3,2,4,dist,dist
Mix-RuleTreeRank,1,75,1,0.9721,0.9685,0.0036,True,True,False,6,2,5,5,2,2,dist,dist
Mix-RuleTreeRank,1,76,1,0.9754,0.9727,0.0027,True,False,True,2,2,5,3,2,4,y,dist
Mix-RuleTreeRank,1,77,1,0.9428,0.929,0.0138,True,True,True,4,2,4,3,4,2,dist,dist
Mix-RuleTreeRank,1,78,1,0.9587,0.9105,0.0481,True,False,True,6,4,3,4,4,2,dist,y
Mix-RuleTreeRank,1,79,1,0.9792,0.9718,0.0074,True,True,True,2,4,5,5,2,2,dist,dist
Mix-RuleTreeRank,1,80,1,0.9864,0.9529,0.0336,True,True,False,6,6,5,3,2,2,dist,dist
Mix-RuleTreeRank,1,81,1,0.9787,0.9486,0.0301,True,True,True,4,4,5,3,8,8,y,dist
Mix-RuleTreeRank,1,82,1,0.9787,0.9676,0.011,True,False,False,2,6,4,4,4,2,y,y
Mix-RuleTreeRank,1,83,1,0.9694,0.9543,0.0151,True,True,True,6,6,4,4,2,2,dist,dist
Mix-RuleTreeRank,1,84,1,0.9691,0.9616,0.0075,True,True,True,6,4,5,5,2,6,dist,y
Mix-RuleTreeRank,1,85,1,0.9646,0.9496,0.0149,True,False,False,6,6,5,3,2,2,dist,dist
Mix-RuleTreeRank,1,86,1,0.9724,0.9394,0.033,True,False,True,6,6,3,4,4,8,y,dist
Mix-RuleTreeRank,1,87,1,0.982,0.9641,0.018,True,True,False,6,6,4,4,4,4,dist,dist
Mix-RuleTreeRank,1,88,1,0.9676,0.9676,0.0,False,True,True,6,6,4,4,6,6,dist,dist
Mix-RuleTreeRank,1,89,1,0.9822,0.9588,0.0234,True,False,True,6,2,4,4,4,6,dist,dist
Mix-RuleTreeRank,1,90,1,0.9592,0.9592,0.0,False,True,True,2,2,5,5,4,4,y,y
Mix-RuleTreeRank,1,91,1,0.9923,0.9837,0.0086,True,False,False,6,4,5,4,4,4,dist,dist
Mix-RuleTreeRank,1,92,1,1.0,0.9946,0.0054,True,True,True,2,2,4,3,2,6,y,y
Mix-RuleTreeRank,1,93,1,0.9627,0.9587,0.004,True,False,False,2,4,3,3,4,6,dist,y
Mix-RuleTreeRank,1,94,1,0.9574,0.9493,0.0081,True,True,True,2,4,4,4,4,2,dist,dist
Mix-RuleTreeRank,1,95,1,0.9702,0.9441,0.026,True,True,False,4,6,5,4,2,4,y,dist
Mix-RuleTreeRank,1,96,1,0.9675,0.9629,0.0045,True,True,False,6,2,5,3,2,6,y,y
Mix-RuleTreeRank,1,97,1,0.9935,0.9935,0.0,True,True,True,2,2,3,3,4,6,y,dist
Mix-RuleTreeRank,1,98,1,0.9924,0.9796,0.0128,True,True,False,6,4,4,5,2,8,dist,dist
Mix-RuleTreeRank,1,99,1,0.9763,0.9638,0.0125,True,True,True,6,6,5,4,4,4,dist,dist
Mix-RuleTreeRank,2,0,2,0.9804,0.9685,0.0118,True,True,True,2,2,4,3,4,4,y,y
Mix-RuleTreeRank,2,1,2,0.9652,0.9651,0.0001,True,True,False,2,2,4,5,6,8,dist,y
Mix-RuleTreeRank,2,2,2,0.9769,0.9693,0.0076,True,False,True,2,6,5,4,6,4,dist,dist
Mix-RuleTreeRank,2,3,2,0.9613,0.9465,0.0148,True,False,True,4,2,4,5,6,6,dist,dist
Mix-RuleTreeRank,2,4,2,0.981,0.9646,0.0164,True,True,True,6,4,4,3,6,6,y,dist
Mix-RuleTreeRank,2,5,2,0.9775,0.9763,0.0012,True,True,True,2,2,3,3,6,6,y,dist
Mix-RuleTreeRank,2,6,2,0.9708,0.9688,0.002,True,False,True,6,6,4,4,4,4,y,dist
