dataset,variante,phi,gruppi,ndcg_scelta,guadagno_sulla_media,quanto_e_servito_cercare
FINDHR,rtr,1,100,0.9587,0.0373,0.1221
FINDHR,rtr,2,50,0.9574,0.0346,0.1242
FINDHR,rtr,4,25,0.96,0.0335,0.1255
FINDHR,rtr,6,17,0.9611,0.0331,0.1228
FINDHR,rtr,10,10,0.961,0.0332,0.1285
FINDHR,rtrwrulecard,1,100,0.9569,0.0408,0.1266
FINDHR,rtrwrulecard,2,50,0.9567,0.0394,0.1315
FINDHR,rtrwrulecard,4,25,0.9593,0.0383,0.1384
FINDHR,rtrwrulecard,6,17,0.9605,0.0373,0.1381
FINDHR,rtrwrulecard,10,10,0.9607,0.0381,0.1442
FINDHRLIST,rtr,1,100,0.9833,0.0286,0.2006
FINDHRLIST,rtr,2,50,0.9813,0.0311,0.2102
FINDHRLIST,rtr,4,25,0.9804,0.0335,0.2235
FINDHRLIST,rtr,6,17,0.9794,0.0337,0.2291
FINDHRLIST,rtr,10,10,0.979,0.0322,0.2238
FINDHRLIST,rtrwrulecard,1,100,0.9821,0.0351,0.1985
FINDHRLIST,rtrwrulecard,2,50,0.9808,0.0392,0.2123
FINDHRLIST,rtrwrulecard,4,25,0.9799,0.0423,0.2294
FINDHRLIST,rtrwrulecard,6,17,0.9791,0.043,0.2369
FINDHRLIST,rtrwrulecard,10,10,0.9785,0.0414,0.2307
