phi,gruppo,uguale,ndcg_nostro,ndcg_loro,scarto
1,0,False,0.9483,0.9616,-0.0133
1,1,False,0.9454,0.9132,0.0322
1,2,False,0.9538,0.9418,0.012
1,3,False,0.9125,0.9387,-0.0261
1,4,False,0.9464,0.9481,-0.0017
1,5,False,0.9881,0.9688,0.0193
1,6,False,0.9836,0.9785,0.0052
1,7,False,0.953,0.968,-0.0149
1,8,False,0.9594,0.9555,0.0039
1,9,False,0.9723,0.9594,0.0129
1,10,False,0.9372,0.9102,0.027
1,11,False,0.9855,0.9551,0.0304
1,12,False,0.9592,0.9847,-0.0255
1,13,False,0.9716,0.9509,0.0207
1,14,False,0.9522,0.9637,-0.0114
1,15,True,0.9389,0.9645,-0.0256
1,16,False,0.9454,0.9775,-0.0321
1,17,False,0.9702,1.0,-0.0298
1,18,False,0.9541,0.9891,-0.035
1,19,False,0.9676,0.9947,-0.0271
1,20,False,0.9394,0.9465,-0.0071
1,21,False,0.9363,0.9683,-0.0319
1,22,False,0.933,0.98,-0.047
1,23,False,0.9339,0.9442,-0.0103
1,24,False,0.9537,0.9444,0.0093
1,25,True,0.9712,1.0,-0.0288
1,26,False,0.9434,0.9414,0.002
1,27,False,0.9603,1.0,-0.0397
1,28,False,0.9636,0.958,0.0057
1,29,False,0.9456,0.9118,0.0338
1,30,False,0.9688,0.9851,-0.0163
1,31,False,0.9018,0.9418,-0.04
1,32,False,0.9524,0.9301,0.0222
1,33,False,0.9084,0.9621,-0.0537
1,34,False,0.9956,0.9712,0.0244
1,35,False,0.9544,0.9758,-0.0214
1,36,False,0.9352,0.9247,0.0105
1,37,False,1.0,1.0,0.0
1,38,False,0.9778,0.9455,0.0323
1,39,False,0.9735,0.9623,0.0112
1,40,False,0.9694,1.0,-0.0306
1,41,False,1.0,1.0,0.0
1,42,False,0.8938,0.9727,-0.0789
1,43,False,0.9665,1.0,-0.0335
1,44,False,0.9704,0.9552,0.0152
1,45,False,0.9712,0.989,-0.0178
1,46,False,0.9745,0.9727,0.0017
1,47,False,0.9954,0.9711,0.0243
1,48,False,0.9712,0.9685,0.0028
1,49,True,0.9595,0.9394,0.0201
1,50,False,0.9718,0.9897,-0.0179
1,51,False,0.9441,0.9854,-0.0412
1,52,False,0.977,0.9803,-0.0033
1,53,False,0.9417,0.9468,-0.0051
1,54,False,1.0,0.9434,0.0566
1,55,False,1.0,0.9885,0.0115
1,56,False,0.9501,0.9615,-0.0114
1,57,False,0.9515,0.9831,-0.0316
1,58,False,0.967,0.9704,-0.0034
1,59,False,0.9562,0.9904,-0.0343
1,60,False,0.9702,0.9904,-0.0202
1,61,False,0.9912,0.9712,0.02
1,62,False,0.9792,0.9854,-0.0062
1,63,False,0.9434,0.9577,-0.0144
1,64,False,0.908,0.9425,-0.0345
1,65,False,0.9614,0.9705,-0.0091
1,66,False,0.9538,0.9143,0.0394
1,67,False,0.924,0.9241,-0.0002
1,68,False,0.9337,0.9827,-0.049
1,69,False,1.0,0.967,0.033
1,70,False,0.9496,0.9729,-0.0233
1,71,False,0.9797,0.9423,0.0374
1,72,False,0.9327,0.9815,-0.0488
1,73,False,0.96,0.9629,-0.0029
1,74,False,0.9388,0.9526,-0.0138
1,75,True,0.9555,0.9685,-0.013
1,76,False,0.9723,0.9702,0.0021
1,77,False,0.9636,0.9188,0.0448
1,78,False,0.9678,0.9169,0.0509
1,79,False,0.9589,0.9718,-0.0129
1,80,False,0.9516,0.9529,-0.0013
1,81,False,0.9673,0.9486,0.0187
1,82,False,0.9857,0.9676,0.0181
1,83,False,0.9826,0.9543,0.0283
1,84,True,0.9347,0.9616,-0.0269
1,85,False,0.9665,0.9551,0.0114
1,86,False,0.9434,0.9391,0.0043
1,87,False,0.9098,0.9717,-0.0619
1,88,False,0.9453,0.969,-0.0237
1,89,False,0.9699,0.9592,0.0106
1,90,False,0.9767,0.9321,0.0447
1,91,False,0.9764,0.9838,-0.0075
1,92,False,1.0,0.9946,0.0054
1,93,False,0.9586,0.9616,-0.003
1,94,False,0.9431,0.9493,-0.0062
1,95,False,0.9576,0.9441,0.0135
1,96,False,0.9492,0.9623,-0.0131
1,97,False,0.9798,0.9935,-0.0136
1,98,False,0.9625,0.9796,-0.0171
1,99,False,0.9441,0.9638,-0.0197
2,149,False,0.9576,0.9599,-0.0023
