dataset,phi,PDT fissa,seed PDT fissa,PDT scelta,seed PDT scelta,GAM fissa,seed GAM fissa,GAM scelta,seed GAM scelta,PDT: scelta - fissa,p PDT,GAM: scelta - fissa,p GAM,"GAM - PDT, fissa",p fissa,"GAM - PDT, scelta",p scelta
FINDHRLIST,1,0.977,5,0.9767,5,0.9784,5,0.9778,5,-0.0003,0.8016,-0.0006,0.1384,0.0014,0.0161,0.0011,0.3651
FINDHRLIST,2,0.9752,5,0.9803,5,0.9764,5,0.9791,5,0.0051,0.0831,0.0027,0.3134,0.0012,0.3486,-0.0012,0.2432
FINDHRLIST,4,0.975,5,0.9796,5,0.9764,5,0.9788,5,0.0046,0.0102,0.0024,0.1061,0.0014,0.0253,-0.0009,0.3365
FINDHRLIST,6,0.9728,5,0.9803,5,0.9748,5,0.981,5,0.0075,0.0019,0.0062,0.0007,0.002,0.0732,0.0007,0.5911
FINDHRLIST,10,0.9741,5,0.9796,5,0.9769,5,0.9808,5,0.0054,0.0052,0.0039,0.0002,0.0027,0.0022,0.0012,0.0405
FINDHR,1,0.9521,5,0.9344,5,0.9535,5,0.9438,5,-0.0177,0.0012,-0.0097,0.028,0.0014,0.7718,0.0094,0.1409
FINDHR,2,0.9545,5,0.9416,5,0.9602,5,0.9465,5,-0.0129,0.0249,-0.0138,0.0026,0.0057,0.0136,0.0049,0.1734
FINDHR,4,0.9539,5,0.9531,5,0.9602,5,0.9566,5,-0.0008,0.7095,-0.0036,0.4393,0.0063,0.1031,0.0036,0.393
FINDHR,6,0.9567,5,0.9614,5,0.9648,5,0.9614,5,0.0046,0.0559,-0.0034,0.47,0.008,0.0022,-0.0,0.5675
FINDHR,10,0.9516,5,0.9632,5,0.9593,5,0.9642,5,0.0116,0.0068,0.0049,0.1633,0.0077,0.0017,0.0011,0.9272
